text,category
I want to report that street drain is clogged with waste and it needs urgent attention.,Drainage
Kindly check because several street lamps are not functioning near our neighborhood.,Streetlight
road blocked near the market,Road Obstruction
pothole making driving dangerous,Pothole
The local area has a problem where broken road surface with a large pothole.,Pothole
Please inspect the area because public street light has been off for several nights near our neighborhood.,Streetlight
Residents noticed that public facility has been damaged and it needs urgent attention.,Infrastructure Damage
Kindly check because floodwater entering the main road and it needs urgent attention.,Flooding
Kindly check because traffic lights are malfunctioning.,Traffic Signal
Please inspect the area because pothole making driving dangerous.,Pothole
Please inspect the area because temporary structure blocking the footpath and it needs urgent attention.,Road Obstruction
Please report that road flooded after heavy rain.,Flooding
There is a civic issue where public bench has been broken and it needs urgent attention.,Infrastructure Damage
The local area has a problem where road blocked near the market and residents are affected.,Road Obstruction
I want to report that street drain is clogged with waste and residents are affected.,Drainage
Residents noticed that road blocked by illegally dumped materials and residents are affected.,Road Obstruction
A public complaint is that street submerged after recent rain.,Flooding
People in our area reported that garbage collection missed for several days and it needs urgent attention.,Garbage
I want to report that rainwater flooding our street and residents are affected.,Flooding
People in our area reported that road divider is damaged.,Infrastructure Damage
damaged railing creating a safety problem,Infrastructure Damage
Please report that large pothole on the main road and it needs urgent attention.,Pothole
There is a civic issue where storm drain filled with debris.,Drainage
Residents noticed that drain water overflowing onto the road and it needs urgent attention.,Drainage
Please report that street light is not working and it needs urgent attention.,Streetlight
Kindly check because traffic lights are malfunctioning and it needs urgent attention.,Traffic Signal
There is a civic issue where garbage bags dumped near the park and residents are affected.,Garbage
Kindly check because floodwater entering the main road and residents are affected.,Flooding
I want to report that broken water pipeline is leaking near our neighborhood.,Water Leakage
drain water overflowing onto the road,Drainage
road divider is damaged,Infrastructure Damage
Residents noticed that major water leak near the junction and it needs urgent attention.,Water Leakage
Residents noticed that signal has stopped functioning near our neighborhood.,Traffic Signal
The local area has a problem where traffic signal near the market is damaged and residents are affected.,Traffic Signal
The local area has a problem where traffic signal near the market is damaged.,Traffic Signal
A public complaint is that intersection traffic light needs repair and it needs urgent attention.,Traffic Signal
Please inspect the area because floodwater making the road difficult to use and residents are affected.,Flooding
The local area has a problem where lamp on our street needs repair and it needs urgent attention.,Streetlight
There is a civic issue where junction signal stuck on one light and it needs urgent attention.,Traffic Signal
People in our area reported that broken streetlight making the road unsafe and residents are affected.,Streetlight
road becoming flooded whenever it rains,Flooding
The local area has a problem where road becoming flooded whenever it rains and residents are affected.,Flooding
Kindly check because household waste accumulating in the neighborhood and it needs urgent attention.,Garbage
We noticed that streetlight has stopped working and residents are affected.,Streetlight
There is a civic issue where garbage bags dumped near the park.,Garbage
Kindly check because household waste accumulating in the neighborhood.,Garbage
Please inspect the area because bus shelter is damaged and it needs urgent attention.,Infrastructure Damage
Please inspect the area because public street light has been off for several nights and residents are affected.,Streetlight
We noticed that several potholes along our street and residents are affected.,Pothole
Kindly check because traffic lights are malfunctioning near our neighborhood.,Traffic Signal
We noticed that drainage channel needs cleaning near our neighborhood.,Drainage
A public complaint is that dangerous hole in the road near our neighborhood.,Pothole
Residents noticed that drain water overflowing onto the road near our neighborhood.,Drainage
clean water being wasted because of a pipe leak,Water Leakage
The local area has a problem where road becoming flooded whenever it rains.,Flooding
We noticed that fallen tree blocking the road and residents are affected.,Road Obstruction
dangerous hole in the road,Pothole
construction materials blocking the road,Road Obstruction
There is a civic issue where pipeline has burst and water is flooding the street.,Water Leakage
large pothole on the main road,Pothole
I want to report that vehicle obstructing the main street near our neighborhood.,Road Obstruction
People in our area reported that obstruction preventing traffic from passing near our neighborhood.,Road Obstruction
Residents noticed that pile of garbage beside the road and it needs urgent attention.,Garbage
I want to report that broken water pipeline is leaking and residents are affected.,Water Leakage
People in our area reported that pedestrian signal not working and residents are affected.,Traffic Signal
Kindly check because damaged railing creating a safety problem near our neighborhood.,Infrastructure Damage
Kindly check because building materials occupying the roadside and it needs urgent attention.,Road Obstruction
major water leak near the junction,Water Leakage
household waste accumulating in the neighborhood,Garbage
debris obstructing the road after construction,Road Obstruction
I want to report that waste not collected from our street and residents are affected.,Garbage
obstruction preventing traffic from passing,Road Obstruction
Residents noticed that severe waterlogging near the bus stop near our neighborhood.,Flooding
deep pothole near the school,Pothole
A public complaint is that intersection traffic light needs repair.,Traffic Signal
Please report that garbage overflowing near the bus stop and it needs urgent attention.,Garbage
Residents noticed that no street lighting on our road near our neighborhood.,Streetlight
People in our area reported that pedestrian signal not working and it needs urgent attention.,Traffic Signal
Please inspect the area because bus shelter is damaged and residents are affected.,Infrastructure Damage
bus shelter is damaged,Infrastructure Damage
I want to report that traffic light at the junction is broken.,Traffic Signal
I want to report that traffic light at the junction is broken and residents are affected.,Traffic Signal
street filled with uncollected garbage,Garbage
pothole near the junction is getting bigger,Pothole
We noticed that fallen tree blocking the road and it needs urgent attention.,Road Obstruction
Please inspect the area because drainage water spilling onto the street near our neighborhood.,Drainage
Please report that construction materials blocking the road near our neighborhood.,Road Obstruction
A public complaint is that streetlight is flickering and needs maintenance and it needs urgent attention.,Streetlight
There is a civic issue where pipeline has burst and water is flooding the street and residents are affected.,Water Leakage
The local area has a problem where clean water being wasted because of a pipe leak and residents are affected.,Water Leakage
Residents noticed that dangerous pothole near the bus stop and it needs urgent attention.,Pothole
heavy rain causing flooding in the area,Flooding
public utility structure needs repair,Infrastructure Damage
I want to report that roadside barrier is broken.,Infrastructure Damage
Please inspect the area because street filled with uncollected garbage near our neighborhood.,Garbage
garbage collection missed for several days,Garbage
Kindly check because huge hole in the road causing accidents near our neighborhood.,Pothole
People in our area reported that deep road pothole damaging vehicles and residents are affected.,Pothole
road blocked by illegally dumped materials,Road Obstruction
Please report that construction materials blocking the road.,Road Obstruction
Please report that garbage overflowing near the bus stop near our neighborhood.,Garbage
There is a civic issue where heavy rain causing flooding in the area and residents are affected.,Flooding
We noticed that red light not operating properly and it needs urgent attention.,Traffic Signal
several street lamps are not functioning,Streetlight
Please inspect the area because temporary structure blocking the footpath and residents are affected.,Road Obstruction
A public complaint is that streetlight is flickering and needs maintenance.,Streetlight
A public complaint is that debris obstructing the road after construction and residents are affected.,Road Obstruction
Kindly check because blocked drain causing water to collect and it needs urgent attention.,Drainage
There is a civic issue where street partially blocked by a parked vehicle near our neighborhood.,Road Obstruction
There is a civic issue where public bench has been broken near our neighborhood.,Infrastructure Damage
People in our area reported that sewage backing up because the drain is blocked near our neighborhood.,Drainage
Residents noticed that public facility has been damaged and residents are affected.,Infrastructure Damage
There is a civic issue where junction signal stuck on one light and residents are affected.,Traffic Signal
We noticed that public dustbin completely full near our neighborhood.,Garbage
Kindly check because several street lamps are not functioning and it needs urgent attention.,Streetlight
A public complaint is that street submerged after recent rain near our neighborhood.,Flooding
no street lighting on our road,Streetlight
street partially blocked by a parked vehicle,Road Obstruction
People in our area reported that water standing across the entire street and it needs urgent attention.,Flooding
Please report that road flooded after heavy rain and residents are affected.,Flooding
Please report that construction materials blocking the road and residents are affected.,Road Obstruction
drainage water spilling onto the street,Drainage
We noticed that several potholes along our street and it needs urgent attention.,Pothole
The local area has a problem where roadside drain not allowing water to flow and it needs urgent attention.,Drainage
light pole near the junction is dark at night,Streetlight
I want to report that broken water pipeline is leaking.,Water Leakage
We noticed that footpath is badly damaged and it needs urgent attention.,Infrastructure Damage
The local area has a problem where roadside drain not allowing water to flow.,Drainage
Please inspect the area because pothole making driving dangerous near our neighborhood.,Pothole
People in our area reported that leaking water connection outside the building.,Water Leakage
Please inspect the area because bus shelter is damaged.,Infrastructure Damage
There is a civic issue where street partially blocked by a parked vehicle and it needs urgent attention.,Road Obstruction
A public complaint is that public utility structure needs repair and residents are affected.,Infrastructure Damage
Please inspect the area because drainage water spilling onto the street and it needs urgent attention.,Drainage
I want to report that traffic light at the junction is broken near our neighborhood.,Traffic Signal
People in our area reported that broken streetlight making the road unsafe and it needs urgent attention.,Streetlight
We noticed that footpath is badly damaged near our neighborhood.,Infrastructure Damage
Kindly check because damaged railing creating a safety problem and residents are affected.,Infrastructure Damage
We noticed that fallen tree blocking the road near our neighborhood.,Road Obstruction
The local area has a problem where waste scattered around the community bin and it needs urgent attention.,Garbage
Please inspect the area because vehicles facing problems because the signal is broken.,Traffic Signal
I want to report that rainwater flooding our street.,Flooding
People in our area reported that deep road pothole damaging vehicles and it needs urgent attention.,Pothole
I want to report that rainwater flooding our street and it needs urgent attention.,Flooding
A public complaint is that street submerged after recent rain and residents are affected.,Flooding
I want to report that roadside barrier is broken near our neighborhood.,Infrastructure Damage
People in our area reported that sewage backing up because the drain is blocked and it needs urgent attention.,Drainage
We noticed that neighborhood flooded after rainfall and residents are affected.,Flooding
roadside drain not allowing water to flow,Drainage
I want to report that broken water pipeline is leaking and it needs urgent attention.,Water Leakage
A public complaint is that water coming out from a broken pipeline and it needs urgent attention.,Water Leakage
We noticed that public dustbin completely full and it needs urgent attention.,Garbage
People in our area reported that leaking water connection outside the building and it needs urgent attention.,Water Leakage
There is a civic issue where heavy rain causing flooding in the area near our neighborhood.,Flooding
Residents noticed that no street lighting on our road and it needs urgent attention.,Streetlight
section of pavement has collapsed,Infrastructure Damage
public infrastructure has been damaged,Infrastructure Damage
waste not collected from our street,Garbage
A public complaint is that public utility structure needs repair near our neighborhood.,Infrastructure Damage
Residents noticed that public facility has been damaged.,Infrastructure Damage
Please inspect the area because drainage water spilling onto the street and residents are affected.,Drainage
People in our area reported that sewage backing up because the drain is blocked.,Drainage
Please inspect the area because floodwater making the road difficult to use and it needs urgent attention.,Flooding
We noticed that several potholes along our street near our neighborhood.,Pothole
There is a civic issue where pothole near the junction is getting bigger and it needs urgent attention.,Pothole
Please report that traffic signal not working.,Traffic Signal
Please inspect the area because street filled with uncollected garbage and residents are affected.,Garbage
There is a civic issue where street partially blocked by a parked vehicle and residents are affected.,Road Obstruction
There is a civic issue where pipeline has burst and water is flooding the street and it needs urgent attention.,Water Leakage
People in our area reported that water standing across the entire street.,Flooding
I want to report that rainwater flooding our street near our neighborhood.,Flooding
water leaking from the street pipe,Water Leakage
Residents noticed that road blocked by illegally dumped materials and it needs urgent attention.,Road Obstruction
Please report that large pothole on the main road and residents are affected.,Pothole
We noticed that water continuously flowing from a damaged pipe and residents are affected.,Water Leakage
We noticed that public dustbin completely full.,Garbage
Kindly check because building materials occupying the roadside near our neighborhood.,Road Obstruction
There is a civic issue where light pole near the junction is dark at night and it needs urgent attention.,Streetlight
We noticed that red light not operating properly near our neighborhood.,Traffic Signal
Residents noticed that dangerous pothole near the bus stop near our neighborhood.,Pothole
There is a civic issue where storm drain filled with debris and it needs urgent attention.,Drainage
street submerged after recent rain,Flooding
People in our area reported that leaking water connection outside the building near our neighborhood.,Water Leakage
We noticed that water continuously flowing from a damaged pipe and it needs urgent attention.,Water Leakage
A public complaint is that dangerous hole in the road and residents are affected.,Pothole
Kindly check because underground water pipe appears to be leaking and residents are affected.,Water Leakage
I want to report that roadside barrier is broken and it needs urgent attention.,Infrastructure Damage
Please report that public infrastructure has been damaged and residents are affected.,Infrastructure Damage
Residents noticed that major water leak near the junction near our neighborhood.,Water Leakage
Please report that traffic signal not working and residents are affected.,Traffic Signal
Please report that drainage is blocked.,Drainage
A public complaint is that garbage bin needs immediate collection near our neighborhood.,Garbage
There is a civic issue where public bench has been broken.,Infrastructure Damage
Kindly check because underground water pipe appears to be leaking near our neighborhood.,Water Leakage
Kindly check because damaged railing creating a safety problem and it needs urgent attention.,Infrastructure Damage
traffic signal near the market is damaged,Traffic Signal
I want to report that waste not collected from our street and it needs urgent attention.,Garbage
Please inspect the area because vehicles facing problems because the signal is broken and it needs urgent attention.,Traffic Signal
several potholes along our street,Pothole
Kindly check because damaged railing creating a safety problem.,Infrastructure Damage
Residents noticed that drain water overflowing onto the road and residents are affected.,Drainage
rainwater flooding our street,Flooding
A public complaint is that streetlight is flickering and needs maintenance near our neighborhood.,Streetlight
Residents noticed that drain water overflowing onto the road.,Drainage
Kindly check because several street lamps are not functioning.,Streetlight
The local area has a problem where section of pavement has collapsed and it needs urgent attention.,Infrastructure Damage
intersection traffic light needs repair,Traffic Signal
Residents noticed that severe waterlogging near the bus stop and it needs urgent attention.,Flooding
People in our area reported that pedestrian signal not working.,Traffic Signal
street drain is clogged with waste,Drainage
The local area has a problem where road blocked near the market and it needs urgent attention.,Road Obstruction
We noticed that several potholes along our street.,Pothole
floodwater making the road difficult to use,Flooding
temporary structure blocking the footpath,Road Obstruction
A public complaint is that drain near our house is completely clogged.,Drainage
I want to report that street drain is clogged with waste.,Drainage
The local area has a problem where broken road surface with a large pothole and residents are affected.,Pothole
There is a civic issue where pothole near the junction is getting bigger.,Pothole
People in our area reported that deep road pothole damaging vehicles.,Pothole
People in our area reported that broken streetlight making the road unsafe.,Streetlight
severe waterlogging near the bus stop,Flooding
Kindly check because huge hole in the road causing accidents and residents are affected.,Pothole
A public complaint is that debris obstructing the road after construction near our neighborhood.,Road Obstruction
People in our area reported that road divider is damaged and residents are affected.,Infrastructure Damage
People in our area reported that water standing across the entire street and residents are affected.,Flooding
pile of garbage beside the road,Garbage
The local area has a problem where traffic signal near the market is damaged near our neighborhood.,Traffic Signal
I want to report that waste not collected from our street near our neighborhood.,Garbage
Kindly check because blocked drain causing water to collect.,Drainage
There is a civic issue where storm drain filled with debris near our neighborhood.,Drainage
Please report that drainage is blocked and residents are affected.,Drainage
A public complaint is that intersection traffic light needs repair near our neighborhood.,Traffic Signal
Residents noticed that dangerous pothole near the bus stop.,Pothole
waste scattered around the community bin,Garbage
The local area has a problem where road becoming flooded whenever it rains near our neighborhood.,Flooding
